get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.africa.jersey,response.leagues.africa.active,response.leagues.africa.pos
players/,21.0,2023.0,23.0,417,Cameron,Payne,1994-08-08,USA,2015,6,6.0,1.0,1.85,183.0,83.0,Murray State,Murray State/USA,15.0,True,G,20.0,1.0,G,,,
,,,,431,Bobby,Portis,1995-02-10,USA,2015,6,6.0,10.0,2.08,250.0,113.4,Arkansas,Arkansas/USA,9.0,True,F,,,,,,
,,,,115,Pat,Connaughton,1993-01-06,USA,2015,6,6.0,5.0,1.96,209.0,94.8,Notre Dame,Notre Dame/USA,24.0,True,G,,,,,,
,,,,46,Malik,Beasley,1996-11-26,USA,2016,5,6.0,4.0,1.93,187.0,84.8,Florida State,Florida State/USA,5.0,True,G,25.0,1.0,G,,,
,,,,2034,Lindell,Wigginton,,,0,0,,,,,,,,28.0,True,G,28.0,1.0,G,,,
,,,,2482,Marques,Bolden,,,0,0,,,,,,,,24.0,True,C,22.0,1.0,C,,,
,,,,3405,MarJon,Beauchamp,,,0,0,,,,,,,,,True,F,,1.0,F,,,
,,,,3497,TyTy,Washington Jr.,,,0,0,,,,,,,,,True,G,,1.0,G,,,
,,,,3443,A.J.,Green,,,0,0,,,,,,,,20.0,True,G,20.0,1.0,G,,,
,,,,3996,Jazian,Gortman,,,0,0,6.0,,,170.0,,,,,True,G,,,,,,
,,,,3997,Chris,Livingston,,,0,0,6.0,,,220.0,,Kentucky,,7.0,True,F,,,,,,
,,,,3998,Omari,Moore,,,0,0,6.0,,,195.0,,San Jos̩ State,,,True,G,,,,,,
,,,,3999,Drew,Timme,,,0,0,6.0,,,235.0,,Gonzaga,,,True,F,,,,,,
,,,,4047,Andre Jr.,Jackson,,,0,0,6.0,,,200.0,,UConn,,44.0,True,G,,,,,,
,,,,181,Danilo,Gallinari,1988-08-08,Italy,2008,12,6.0,10.0,2.08,236.0,107.0,Olimpia Milano,Olimpia Milano/Italy,8.0,True,F,,,,8.0,1.0,F
,,,,323,Brook,Lopez,1988-04-01,USA,2008,13,7.0,0.0,2.13,282.0,127.9,Stanford,Stanford/USA,11.0,True,C,,,,,,
,,,,325,Robin,Lopez,1988-04-01,USA,2008,13,7.0,0.0,2.13,281.0,127.5,Stanford,Stanford/USA,33.0,True,C,,,,,,
,,,,53,Patrick,Beverley,1988-07-12,USA,2012,9,6.0,1.0,1.85,180.0,81.6,Arkansas,Arkansas/USA,21.0,True,G,,,,,,
,,,,319,Damian,Lillard,1990-07-15,USA,2012,9,6.0,2.0,1.88,195.0,88.5,Weber State,Weber State/USA,,True,G,,,,,,
,,,,121,Jae,Crowder,1990-07-06,USA,2012,9,6.0,6.0,1.98,235.0,106.6,Marquette,Marquette/USA,99.0,True,F,,,,,,
,,,,361,Khris,Middleton,1991-08-12,USA,2012,9,6.0,7.0,2.01,222.0,100.7,Texas A&M,Texas A&M/USA,22.0,True,F,,,,22.0,1.0,F
,,,,20,Giannis,Antetokounmpo,1994-12-06,Greece,2013,8,6.0,11.0,2.11,242.0,109.8,Filathlitikos,Filathlitikos/Greece,34.0,True,F,,,,,,
,,,,2408,Thanasis,Antetokounmpo,1992-07-18,Greece,2015,3,6.0,6.0,1.98,219.0,99.3,Panathinaikos,Panathinaikos/Greece,43.0,True,F,,,,,,
