get,parameters.season,parameters.team,results,response.id,response.league,response.season,response.date.start,response.date.end,response.date.duration,response.stage,response.status.clock,response.status.halftime,response.status.short,response.status.long,response.periods.current,response.periods.total,response.periods.endOfPeriod,response.arena.name,response.arena.city,response.arena.state,response.arena.country,response.teams.visitors.id,response.teams.visitors.name,response.teams.visitors.nickname,response.teams.visitors.code,response.teams.visitors.logo,response.teams.home.id,response.teams.home.name,response.teams.home.nickname,response.teams.home.code,response.teams.home.logo,response.scores.visitors.win,response.scores.visitors.loss,response.scores.visitors.series.win,response.scores.visitors.series.loss,response.scores.visitors.linescore.0,response.scores.visitors.linescore.1,response.scores.visitors.linescore.2,response.scores.visitors.linescore.3,response.scores.visitors.points,response.scores.home.win,response.scores.home.loss,response.scores.home.series.win,response.scores.home.series.loss,response.scores.home.linescore.0,response.scores.home.linescore.1,response.scores.home.linescore.2,response.scores.home.linescore.3,response.scores.home.points,response.timesTied,response.leadChanges,response.nugget
,,,,13078,standard,2023,2024-01-12T01:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,26,29,31,38,124,0,0,0,0,44,30,27,27,128,,,
,,,,13095,standard,2023,2024-01-14T01:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,29,20,39,30,118,0,0,0,0,20,34,27,27,108,,,
,,,,13104,standard,2023,2024-01-15T19:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,17,42,40,21,120,0,0,0,0,33,26,33,33,125,,,
,,,,13125,standard,2023,2024-01-18T01:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,crypto.com Arena,Los Angeles,CA,,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,0,0,0,0,26,27,27,30,110,0,0,0,0,32,23,42,30,127,,,
,,,,13137,standard,2023,2024-01-20T03:00:00.000Z,,,2,,FALSE,1,Scheduled,0,4,FALSE,Chase Center,San Francisco,CA,,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,0,0,0,0,,,,,0,0,0,0,0,,,,,0,,,
,,,,13159,standard,2023,2024-01-23T01:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,2,Boston Celtics,Celtics,BOS,https://upload.wikimedia.org/wikipedia/fr/thumb/6/65/Celtics_de_Boston_logo.svg/1024px-Celtics_de_Boston_logo.svg.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,24,41,29,25,119,0,0,0,0,26,33,24,27,110,,,
,,,,13173,standard,2023,2024-01-25T02:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,25,32,43,32,132,0,0,0,0,34,24,20,31,109,,,
,,,,13182,standard,2023,2024-01-27T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,State Farm Arena,Atlanta,GA,,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,0,0,0,0,27,39,42,40,148,0,0,0,0,31,35,36,41,143,,,
,,,,13199,standard,2023,2024-01-28T02:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,30,Sacramento Kings,Kings,SAC,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,29,34,31,26,120,0,0,0,0,25,24,26,40,115,,,
,,,,13214,standard,2023,2024-01-30T01:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,American Airlines Center,Dallas,TX,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,0,0,0,0,35,42,12,40,129,0,0,0,0,26,35,35,35,131,,,
