get,parameters.team,parameters.season,results,response.id,response.firstname,response.lastname,response.birth.date,response.birth.country,response.nba.start,response.nba.pro,response.height.feets,response.height.inches,response.height.meters,response.weight.pounds,response.weight.kilograms,response.college,response.affiliation,response.leagues.standard.jersey,response.leagues.standard.active,response.leagues.standard.pos,response.leagues.vegas.jersey,response.leagues.vegas.active,response.leagues.vegas.pos,response.leagues.utah.jersey,response.leagues.utah.active,response.leagues.utah.pos
players/,14.0,2023.0,20.0,337,Boban,Marjanovic,1988-08-15,Serbia,2015,6,7.0,3.0,2.21,290.0,131.5,Crvena zvezda,Crvena zvezda/Serbia,51.0,True,C,,,,,,
,,,,527,Fred,VanVleet,1994-02-25,USA,2016,5,6.0,1.0,1.85,197.0,89.4,Wichita State,Wichita State/USA,23.0,True,G,,,,,,
,,,,749,Dillon,Brooks,1996-01-22,Canada,2017,4,6.0,7.0,2.01,225.0,102.1,Oregon,Oregon/Canada,24.0,True,G-F,24.0,1.0,G-F,,,
,,,,979,Aaron,Holiday,1996-09-30,USA,2018,3,6.0,0.0,1.83,185.0,83.9,UCLA,UCLA/USA,4.0,True,G,3.0,1.0,G,,,
,,,,1485,Jock,Landale,,,0,0,,,,,,,,11.0,True,C,43.0,1.0,C,34.0,1.0,C
,,,,2672,Nate,Hinton,1999-06-08,USA,2020,1,6.0,5.0,1.96,210.0,95.3,Houston,Houston/USA,14.0,True,G-F,14.0,1.0,G,,,
,,,,2810,Jalen,Green,2002-02-09,USA,2021,0,6.0,4.0,1.93,186.0,84.4,NBA G League Ignite,NBA G League Ignite/USA,,True,G,,1.0,G,,,
,,,,2650,Jae'Sean,Tate,1995-10-28,USA,2020,1,6.0,4.0,1.93,230.0,104.3,Ohio State,Ohio State/USA,8.0,True,F,,,,,,
,,,,2847,Alperen,Sengun,2002-07-25,Turkey,2021,0,6.0,10.0,2.08,243.0,110.2,Besiktas,Besiktas/Turkey,28.0,True,C,28.0,1.0,F-C,,,
,,,,3430,Darius,Days,,,0,0,,,,,,,,,True,F,38.0,1.0,F,,,
,,,,3489,Jabari,Smith Jr.,,,0,0,,,,,,,,1.0,True,F,1.0,1.0,F,,,
,,,,3435,Tari,Eason,,,0,0,,,,,,,,17.0,True,F,17.0,1.0,F,,,
,,,,3450,Trevor,Hudgins,,,0,0,,,,,,,,12.0,True,G,39.0,1.0,G,,,
,,,,3931,Jeenathan,Williams,,,0,0,,,,,,,,49.0,True,G,,,,,,
,,,,3976,Matthew,Mayer,,,0,0,6.0,,,225.0,,Illinois,,,True,F,,,,,,
,,,,3977,Amen,Thompson,,,0,0,6.0,,,214.0,,,,,True,F,,,,,,
,,,,3978,Cam,Whitmore,,,0,0,6.0,,,232.0,,Villanova,,,True,F,,,,,,
,,,,207,Jeff,Green,1986-08-28,USA,2007,13,6.0,8.0,2.03,235.0,106.6,Georgetown,Georgetown/USA,32.0,True,F,,,,,,
,,,,869,Samardo,Samuels,,,0,0,,,,,,,,6.0,True,F,,,,,,
,,,,82,Reggie,Bullock,1991-03-16,USA,2013,8,6.0,6.0,1.98,205.0,93.0,North Carolina,North Carolina/USA,25.0,True,G-F,,,,,,
